frames,reward,dist
5000,0.0000,0.1306
10000,0.0000,0.0764
15000,0.0000,0.1260
20000,0.0000,0.0519
25000,0.0000,0.0979
30000,0.0000,0.0624
35000,0.0000,0.0653
40000,0.0000,0.1551
45000,0.0000,0.0352
50000,0.0000,0.0641
55000,0.0000,0.1612
60000,0.0000,0.6873
65000,0.0000,1.1207
70000,0.0000,1.0523
75000,0.0000,0.9542
80000,0.0000,0.8454
85000,0.0000,0.8176
90000,0.0000,0.8265
95000,0.0000,0.9952
100000,0.0000,1.0204
105000,0.0000,1.1465
110000,0.0000,0.8289
115000,0.0000,0.7733
120000,0.0000,0.9045
125000,0.0000,0.9000
130000,0.0000,0.9720
135000,0.0000,0.6094
140000,0.0000,0.9596
145000,0.0000,0.8688
150000,0.0000,0.7533
155000,0.0000,0.7750
160000,0.0000,0.5076
165000,0.0000,0.5480
170000,0.0000,0.5366
175000,0.0000,0.6333
180000,0.0000,0.8624
185000,0.0000,0.5595
190000,0.0000,1.1553
195000,0.2000,1.2111
200000,0.1000,1.4070
205000,0.0000,1.0324
210000,0.6000,1.0837
215000,0.5000,1.2026
220000,1.0000,0.8542
225000,0.7000,0.8646
230000,0.5000,1.0533
235000,1.0000,0.8108
240000,0.4000,1.1146
245000,0.6000,1.1303
250000,0.8000,1.0475
255000,0.2000,1.1387
260000,0.3000,1.0813
265000,0.1000,1.2164
270000,0.6000,1.0173
275000,0.9000,0.9525
280000,0.3000,1.1511
285000,0.6000,1.1028
290000,0.4000,1.2411
295000,0.1000,1.1014
300000,0.4000,1.1236
305000,0.4000,1.0322
310000,0.8000,0.9387
315000,0.4000,1.0730
320000,0.9000,0.8791
325000,0.3000,1.1059
330000,0.5000,1.0109
335000,0.8000,1.0826
340000,0.6000,1.0974
345000,0.4000,0.9556
350000,0.7000,1.0067
355000,0.8000,0.9209
360000,0.7000,1.0725
365000,0.6000,1.0912
370000,0.7000,1.0806
375000,0.6000,1.0685
380000,0.8000,1.0556
385000,0.8000,1.0188
390000,0.9000,1.0084
395000,0.4000,1.0605
400000,0.6000,1.0755
405000,0.2000,1.2235
410000,0.3000,1.2660
415000,0.8000,1.0525
420000,0.5000,1.2434
425000,0.4000,1.2857
430000,0.6000,1.1651
435000,0.3000,1.2315
440000,0.5000,1.1080
445000,0.7000,1.1294
450000,0.5000,1.1372
455000,0.7000,1.1281
460000,0.7000,1.0812
465000,1.0000,0.9907
470000,0.6000,1.1154
475000,0.4000,1.2233
480000,0.7000,1.1110
485000,0.8000,1.0122
490000,0.7000,1.0897
495000,0.5000,1.0796
500000,0.7000,1.0642
