frames,reward,dist
5000,0.0000,0.5334
10000,0.0000,0.0919
15000,0.0000,0.0466
20000,0.0000,0.0673
25000,0.0000,0.0557
30000,0.0000,0.0454
35000,0.0000,0.0261
40000,0.0000,0.0436
45000,0.0000,0.0516
50000,0.0000,0.0280
55000,0.0000,0.0187
60000,0.0000,0.6696
65000,0.0000,1.0190
70000,0.0000,0.9820
75000,0.0000,0.9104
80000,0.0000,0.7346
85000,0.0000,0.8281
90000,0.0000,0.8026
95000,0.0000,0.8680
100000,0.0000,0.8798
105000,0.0000,0.6816
110000,0.0000,0.5754
115000,0.0000,0.5903
120000,0.0000,0.7395
125000,0.0000,0.6174
130000,0.0000,0.6092
135000,0.0000,0.5827
140000,0.0000,0.7854
145000,0.0000,0.4998
150000,0.0000,0.5630
155000,0.0000,0.8380
160000,0.0000,0.4945
165000,0.0000,0.4457
170000,0.0000,0.4403
175000,0.0000,0.3057
180000,0.0000,0.5972
185000,0.0000,0.5250
190000,0.0000,0.7012
195000,0.0000,0.5080
200000,0.0000,0.4315
205000,0.0000,0.4966
210000,0.0000,0.5612
215000,0.0000,0.5039
220000,0.0000,0.4740
225000,0.0000,0.4695
230000,0.0000,0.5158
235000,0.0000,0.5931
240000,0.0000,0.4957
245000,0.0000,0.5528
250000,0.0000,0.4298
255000,0.0000,0.3779
260000,0.0000,0.3540
265000,0.0000,0.2134
270000,0.0000,0.2669
275000,0.0000,0.3300
280000,0.0000,0.3714
285000,0.0000,0.3180
290000,0.0000,0.2826
295000,0.0000,0.2786
300000,0.0000,0.1900
305000,0.0000,0.2150
310000,0.0000,0.2696
315000,0.0000,0.4779
320000,0.0000,0.4535
325000,0.0000,0.3716
330000,0.0000,0.4453
335000,0.0000,0.3765
340000,0.0000,0.3674
345000,0.0000,0.4473
350000,0.0000,0.3395
355000,0.0000,0.4405
360000,0.0000,0.4187
365000,0.0000,0.3257
370000,0.0000,0.4047
375000,0.0000,0.3311
380000,0.0000,0.4964
385000,0.0000,0.2124
390000,0.0000,0.3491
395000,0.0000,0.6270
400000,0.0000,0.3319
405000,0.0000,0.3613
410000,0.0000,0.2921
415000,0.0000,0.1610
420000,0.0000,0.2872
425000,0.0000,0.3066
430000,0.0000,0.2114
435000,0.0000,0.2947
440000,0.0000,0.3647
445000,0.0000,0.1985
450000,0.0000,0.1957
455000,0.0000,0.2229
460000,0.0000,0.2164
465000,0.0000,0.3885
470000,0.0000,0.3852
475000,0.0000,0.3142
480000,0.1000,0.5050
485000,0.0000,0.5093
490000,0.0000,0.5228
495000,0.4000,0.4675
500000,0.1000,0.5193
