frames,reward,dist
5410,0.0000,0.0450
10810,0.0000,0.0613
16390,0.0000,0.0545
21790,0.0000,0.0355
27210,0.0000,0.0444
32630,0.0000,0.0354
38050,0.0000,0.0295
43450,0.0000,0.0190
48890,0.0000,0.0454
54380,0.0000,0.3253
59700,0.0000,0.0208
64860,0.0000,0.7167
70270,0.0000,1.1080
75340,0.0000,1.2058
80470,0.0000,1.2536
85630,0.0000,0.9659
90940,0.0000,0.7913
96520,0.0000,1.0541
101640,0.0000,0.7289
107200,0.0000,0.7022
112420,0.0000,0.6700
117570,0.0000,0.9621
123090,0.0000,0.7626
128420,0.0000,0.3712
133690,0.0000,0.8122
139050,0.0000,0.8172
144180,0.0000,0.7751
149230,0.0000,1.1458
154260,0.2000,1.0796
159320,0.0000,1.1795
164840,0.2000,1.0159
169970,0.0000,1.0097
175250,0.2000,1.1123
180400,0.0000,1.0813
185850,0.0000,1.1739
191170,0.1000,1.0416
196660,0.0000,1.0766
201770,0.0000,1.3095
207030,0.0000,1.3107
212240,0.3000,1.0859
217340,0.0000,0.9752
222680,0.4000,1.0303
227940,0.2000,1.2640
233350,0.7000,1.0286
238810,0.5000,1.1817
244310,0.6000,1.1781
249790,0.4000,1.1506
255120,0.2000,1.2155
260180,0.7000,1.0954
265180,1.0000,1.0738
270360,1.0000,1.0257
275370,0.6000,1.1825
280570,0.7000,1.1320
285690,0.7000,1.0978
291040,0.7000,1.1422
296270,0.5000,1.2094
301470,0.3000,1.1516
306470,0.8000,1.0977
311750,0.9000,0.9426
316960,0.8000,1.0637
322070,0.9000,1.0398
327150,0.5000,1.0735
332320,0.9000,1.0267
337470,1.0000,1.0828
342640,1.0000,0.9871
347970,0.6000,1.0153
352970,0.9000,1.1057
357970,0.9000,1.0798
363060,0.9000,1.0466
368060,0.5000,1.1523
373120,0.8000,1.0853
378250,0.5000,1.0967
383360,0.5000,1.1616
388360,0.6000,1.1721
393420,0.7000,1.0507
398560,0.7000,1.1740
403660,0.8000,1.1188
409160,0.4000,1.2405
414220,0.7000,1.2007
419750,0.4000,1.2673
425160,0.4000,1.2847
430190,0.6000,1.2784
435390,0.6000,1.1848
440800,0.5000,1.2169
445950,0.5000,1.2177
451190,0.4000,1.2350
456290,0.5000,1.1992
461370,0.6000,1.2680
466400,0.5000,1.2092
471420,0.6000,1.2438
476760,0.8000,1.1451
481870,0.8000,1.1474
486910,0.8000,1.2468
492200,0.5000,1.1848
497430,0.7000,1.1385
500000,0.7000,1.1974
