frames,reward,dist
5000,-127.8380,0.0229
10000,-120.8477,0.0079
15000,-115.4527,0.0040
20000,-120.8596,0.0061
25000,-124.5286,0.0082
30000,-120.0273,0.0062
35000,-118.6556,0.0051
40000,-125.5403,0.0090
45000,-126.2434,0.0083
50000,-128.4261,0.0097
55000,-141.8619,0.0201
60000,-184.7669,0.8026
65000,-171.9815,1.6133
70000,-186.9950,1.8477
75000,-240.1966,2.2638
80000,-251.2013,2.1311
85000,-196.1301,1.8210
90000,-215.2781,2.3698
95000,-209.8646,2.1710
100000,-197.8427,1.8937
105000,-225.4598,1.9229
110000,-224.5903,2.0367
115000,-227.2178,2.1229
120000,-246.1149,2.0716
125000,-210.8701,2.2542
130000,-236.3228,2.0332
135000,-258.1919,1.9877
140000,-214.1050,1.9863
145000,-209.5042,2.2572
150000,-240.8654,2.1892
155000,-192.3759,2.3395
160000,-205.0960,1.9212
165000,-198.7049,2.1042
170000,-191.3043,1.9928
175000,-215.8790,2.0616
180000,-225.0719,2.1148
185000,-215.7854,2.3174
190000,-223.8144,2.4699
195000,-209.1719,2.3180
200000,-210.0732,2.4496
205000,-227.0602,1.9111
210000,-171.5225,2.3403
215000,-191.5241,2.3212
220000,-234.6141,2.3286
225000,-249.3058,2.6640
230000,-240.5689,2.4647
235000,-227.2370,2.6152
240000,-227.5428,2.5504
245000,-221.9766,2.2851
250000,-221.6201,2.3867
255000,-225.7341,2.2354
260000,-254.4923,2.3708
265000,-204.4392,2.3174
270000,-201.5292,1.9333
275000,-234.0704,2.4197
280000,-247.1955,2.3264
285000,-184.4840,2.1172
290000,-227.2855,2.3539
295000,-225.9525,2.1955
300000,-231.5013,2.2916
305000,-203.3282,1.9852
310000,-237.7020,2.0459
315000,-170.7436,1.9872
320000,-237.1222,2.3658
325000,-220.3543,1.6178
330000,-195.0684,2.1374
335000,-238.6589,2.0211
340000,-213.9534,2.0520
345000,-196.7661,2.0757
350000,-200.2486,2.1387
355000,-220.2279,1.9293
360000,-200.8777,1.6028
365000,-229.3606,2.1920
370000,-202.8073,2.1248
375000,-215.0762,1.8939
380000,-235.8602,2.4226
385000,-244.4295,2.3060
390000,-201.5676,2.1628
395000,-189.6359,2.1209
400000,-244.8864,2.0562
405000,-217.4544,2.2495
410000,-239.0900,2.0583
415000,-231.8667,1.9721
420000,-201.1386,1.9637
425000,-238.5564,1.9279
430000,-217.2801,2.0876
435000,-200.6041,2.1950
440000,-222.9177,1.9512
445000,-252.3839,1.7691
450000,-203.5261,1.1133
455000,-221.7643,1.8071
460000,-244.5356,2.2409
465000,-219.2313,2.1809
470000,-233.5839,2.4203
475000,-219.5249,1.7603
480000,-202.9700,2.2056
485000,-207.6501,2.0103
490000,-204.7577,1.7908
495000,-196.4626,2.0480
500000,-234.6071,1.9980
