frames,reward,dist
5000,-45.0000,0.0859
10000,-50.0000,0.0876
15000,-50.0000,0.0714
20000,-50.0000,0.0803
25000,-45.0000,0.0812
30000,-50.0000,0.0836
35000,-45.0000,0.0849
40000,-50.0000,0.0816
45000,-40.0000,0.0823
50000,-50.0000,0.0768
55000,-45.0000,0.0845
60000,-50.0000,0.0828
65000,-50.0000,0.0764
70000,-40.0000,0.0821
75000,-50.0000,0.0803
80000,-50.0000,0.0826
85000,-50.0000,0.0793
90000,-50.0000,0.0819
95000,-50.0000,0.0815
100000,-50.0000,0.0807
105000,-45.0000,0.0840
110000,-50.0000,0.0794
115000,-45.0000,0.0825
120000,-50.0000,0.0787
125000,-45.0000,0.0788
130000,-50.0000,0.0790
135000,-50.0000,0.0815
140000,-50.0000,0.0823
145000,-45.0000,0.0819
150000,-50.0000,0.0807
155000,-45.0000,0.0831
160000,-50.0000,0.0824
165000,-50.0000,0.0850
170000,-50.0000,0.0838
175000,-50.0000,0.0831
180000,-50.0000,0.0821
185000,-50.0000,0.0825
190000,-50.0000,0.0831
195000,-50.0000,0.0817
200000,-50.0000,0.0815
205000,-50.0000,0.0832
210000,-50.0000,0.0840
215000,-50.0000,0.0828
220000,-45.0000,0.0846
225000,-50.0000,0.0836
230000,-50.0000,0.0845
235000,-50.0000,0.0812
240000,-50.0000,0.0836
245000,-50.0000,0.0814
250000,-40.0000,0.0836
255000,-50.0000,0.0839
260000,-50.0000,0.0849
265000,-50.0000,0.0847
270000,-50.0000,0.0843
275000,-45.0000,0.0848
280000,-50.0000,0.0824
285000,-50.0000,0.0846
290000,-50.0000,0.0858
295000,-50.0000,0.0834
300000,-50.0000,0.0860
305000,-50.0000,0.0845
310000,-45.0000,0.0851
315000,-45.0000,0.0858
320000,-45.0000,0.0824
325000,-50.0000,0.0848
330000,-50.0000,0.0837
335000,-50.0000,0.0845
340000,-50.0000,0.0823
345000,-50.0000,0.0830
350000,-50.0000,0.0836
355000,-50.0000,0.0843
360000,-45.0000,0.0845
365000,-50.0000,0.0856
370000,-50.0000,0.0836
375000,-50.0000,0.0855
380000,-50.0000,0.0841
385000,-50.0000,0.0860
390000,-50.0000,0.0843
395000,-50.0000,0.0862
400000,-45.0000,0.0850
405000,-50.0000,0.0861
410000,-50.0000,0.0842
415000,-50.0000,0.0848
420000,-45.0000,0.0843
425000,-45.0000,0.0864
430000,-50.0000,0.0849
435000,-50.0000,0.0856
440000,-50.0000,0.0862
445000,-50.0000,0.0859
450000,-50.0000,0.0848
455000,-50.0000,0.0850
460000,-45.0000,0.0853
465000,-50.0000,0.0834
470000,-50.0000,0.0843
475000,-50.0000,0.0846
480000,-45.0000,0.0856
485000,-50.0000,0.0853
490000,-45.0000,0.0834
495000,-45.0000,0.0858
500000,-45.0000,0.0862
