frames,reward,dist
5000,-45.0000,0.0219
10000,-35.0000,0.0260
15000,-45.0000,0.0234
20000,-50.0000,0.0241
25000,-50.0000,0.0210
30000,-50.0000,0.0240
35000,-50.0000,0.0209
40000,-45.0000,0.0229
45000,-50.0000,0.0175
50000,-50.0000,0.0237
55000,-45.0000,0.0247
60000,-50.0000,0.0200
65000,-50.0000,0.0265
70000,-50.0000,0.0308
75000,-45.0000,0.0340
80000,-45.0000,0.0217
85000,-50.0000,0.0195
90000,-40.0000,0.0391
95000,-45.0000,0.0223
100000,-50.0000,0.0199
105000,-50.0000,0.0267
110000,-45.0000,0.0254
115000,-50.0000,0.0195
120000,-50.0000,0.0309
125000,-40.0000,0.0269
130000,-40.0000,0.0259
135000,-50.0000,0.0197
140000,-50.0000,0.0220
145000,-50.0000,0.0288
150000,-45.0000,0.0213
155000,-50.0000,0.0167
160000,-50.0000,0.0313
165000,-45.0000,0.0212
170000,-50.0000,0.0203
175000,-40.0000,0.0274
180000,-45.0000,0.0216
185000,-50.0000,0.0206
190000,-50.0000,0.0228
195000,-40.0000,0.0266
200000,-50.0000,0.0392
205000,-45.0000,0.0273
210000,-50.0000,0.0318
215000,-45.0000,0.0213
220000,-50.0000,0.0216
225000,-45.0000,0.0323
230000,-40.0000,0.0307
235000,-50.0000,0.0305
240000,-45.0000,0.0281
245000,-50.0000,0.0325
250000,-45.0000,0.0291
255000,-50.0000,0.0332
260000,-45.0000,0.0261
265000,-45.0000,0.0325
270000,-35.0000,0.0353
275000,-45.0000,0.0296
280000,-45.0000,0.0216
285000,-45.0000,0.0341
290000,-50.0000,0.0365
295000,-40.0000,0.0306
300000,-40.0000,0.0330
305000,-45.0000,0.0344
310000,-45.0000,0.0326
315000,-40.0000,0.0337
320000,-50.0000,0.0354
325000,-50.0000,0.0266
330000,-50.0000,0.0345
335000,-50.0000,0.0374
340000,-45.0000,0.0253
345000,-50.0000,0.0231
350000,-50.0000,0.0295
355000,-50.0000,0.0211
360000,-50.0000,0.0490
365000,-50.0000,0.0330
370000,-50.0000,0.0344
375000,-50.0000,0.0299
380000,-45.0000,0.0387
385000,-40.0000,0.0382
390000,-50.0000,0.0302
395000,-40.0000,0.0239
400000,-50.0000,0.0275
405000,-50.0000,0.0264
410000,-50.0000,0.0173
415000,-45.0000,0.0246
420000,-45.0000,0.0359
425000,-50.0000,0.0318
430000,-45.0000,0.0269
435000,-45.0000,0.0281
440000,-50.0000,0.0372
445000,-45.0000,0.0407
450000,-45.0000,0.0298
455000,-50.0000,0.0293
460000,-45.0000,0.0358
465000,-30.0000,0.0385
470000,-50.0000,0.0314
475000,-45.0000,0.0252
480000,-50.0000,0.0256
485000,-50.0000,0.0229
490000,-45.0000,0.0302
495000,-50.0000,0.0290
500000,-35.0000,0.0326
505000,-40.0000,0.0298
510000,-45.0000,0.0299
515000,-45.0000,0.0290
520000,-25.0000,0.0382
525000,-50.0000,0.0319
530000,-40.0000,0.0372
535000,-45.0000,0.0266
540000,-50.0000,0.0337
545000,-45.0000,0.0216
550000,-40.0000,0.0304
555000,-50.0000,0.0227
560000,-45.0000,0.0281
565000,-50.0000,0.0386
570000,-45.0000,0.0339
575000,-35.0000,0.0419
580000,-50.0000,0.0319
585000,-50.0000,0.0303
590000,-50.0000,0.0413
595000,-50.0000,0.0281
600000,-40.0000,0.0297
605000,-30.0000,0.0300
610000,-50.0000,0.0312
615000,-50.0000,0.0342
620000,-45.0000,0.0401
625000,-50.0000,0.0381
630000,-45.0000,0.0302
635000,-50.0000,0.0315
640000,-50.0000,0.0331
645000,-50.0000,0.0419
650000,-50.0000,0.0250
655000,-45.0000,0.0294
660000,-45.0000,0.0443
665000,-45.0000,0.0367
670000,-45.0000,0.0362
675000,-50.0000,0.0321
680000,-45.0000,0.0313
685000,-45.0000,0.0357
690000,-40.0000,0.0463
695000,-45.0000,0.0429
700000,-40.0000,0.0320
705000,-50.0000,0.0345
710000,-50.0000,0.0225
715000,-45.0000,0.0255
720000,-45.0000,0.0312
725000,-35.0000,0.0298
730000,-35.0000,0.0384
735000,-50.0000,0.0325
740000,-50.0000,0.0387
745000,-50.0000,0.0332
750000,-45.0000,0.0373
755000,-40.0000,0.0320
760000,-45.0000,0.0324
765000,-50.0000,0.0399
770000,-45.0000,0.0299
775000,-50.0000,0.0354
780000,-30.0000,0.0278
785000,-45.0000,0.0284
790000,-50.0000,0.0272
795000,-50.0000,0.0361
800000,-50.0000,0.0348
805000,-45.0000,0.0227
810000,-50.0000,0.0265
815000,-45.0000,0.0354
820000,-50.0000,0.0279
825000,-50.0000,0.0387
830000,-50.0000,0.0311
835000,-50.0000,0.0312
840000,-50.0000,0.0384
845000,-50.0000,0.0376
850000,-45.0000,0.0387
855000,-35.0000,0.0320
860000,-50.0000,0.0287
865000,-50.0000,0.0320
870000,-45.0000,0.0326
875000,-45.0000,0.0225
880000,-40.0000,0.0348
885000,-50.0000,0.0399
890000,-50.0000,0.0289
895000,-40.0000,0.0354
900000,-50.0000,0.0313
905000,-50.0000,0.0246
910000,-35.0000,0.0370
915000,-45.0000,0.0298
920000,-40.0000,0.0300
925000,-50.0000,0.0355
930000,-45.0000,0.0238
935000,-45.0000,0.0343
940000,-45.0000,0.0418
945000,-40.0000,0.0332
950000,-45.0000,0.0257
955000,-50.0000,0.0354
960000,-50.0000,0.0354
965000,-40.0000,0.0310
970000,-45.0000,0.0311
975000,-45.0000,0.0245
980000,-40.0000,0.0368
985000,-50.0000,0.0268
990000,-50.0000,0.0312
995000,-40.0000,0.0279
1000000,-45.0000,0.0354
