frames,reward,dist
5000,0.1000,0.0093
10000,0.0000,0.0118
15000,0.0000,0.0145
20000,0.0000,0.0072
25000,0.3000,0.0131
30000,0.5000,0.0134
35000,0.6000,0.0397
40000,0.0000,0.0183
45000,0.6000,0.0200
50000,0.0000,0.0152
55000,1.0000,0.0593
60000,0.8000,0.1048
65000,0.8000,0.3951
70000,0.9000,0.3730
75000,0.9000,0.3397
80000,0.9000,0.4323
85000,0.9000,0.3125
90000,0.9000,0.4768
95000,0.0000,0.3307
100000,0.3000,0.3499
105000,0.5000,0.3354
110000,0.4000,0.4067
115000,0.9000,0.3945
120000,0.5000,0.4398
125000,0.9000,0.3565
130000,1.0000,0.6839
135000,0.7000,0.3757
140000,0.2000,0.4579
145000,1.0000,0.5796
150000,0.9000,0.5448
155000,1.0000,0.6898
160000,0.8000,0.4197
165000,0.9000,0.3771
170000,0.8000,0.4034
175000,0.3000,0.3765
180000,0.8000,0.4135
185000,0.8000,0.4331
190000,0.9000,0.5590
195000,0.9000,0.5214
200000,0.6000,0.4512
205000,1.0000,0.4837
210000,0.7000,0.4944
215000,0.9000,0.4223
220000,1.0000,0.5470
225000,0.7000,0.4485
230000,0.6000,0.4024
235000,0.9000,0.3752
240000,1.0000,0.4701
245000,1.0000,0.6047
250000,1.0000,0.4700
255000,1.0000,0.5504
260000,0.6000,0.4376
265000,0.9000,0.4394
270000,1.0000,0.4881
275000,0.7000,0.4453
280000,1.0000,0.6871
285000,0.9000,0.4170
290000,1.0000,0.4448
295000,1.0000,0.3608
300000,1.0000,0.4370
305000,1.0000,0.2821
310000,1.0000,0.6432
315000,0.9000,0.5588
320000,0.9000,0.5451
325000,0.9000,0.4016
330000,0.9000,0.5313
335000,1.0000,0.3885
340000,0.9000,0.5123
345000,0.8000,0.4961
350000,1.0000,0.5830
355000,1.0000,0.5084
360000,1.0000,0.4964
365000,1.0000,0.4253
370000,1.0000,0.4218
375000,1.0000,0.6753
380000,0.9000,0.5550
385000,1.0000,0.4771
390000,1.0000,0.5780
395000,1.0000,0.5577
400000,1.0000,0.5010
405000,0.9000,0.6178
410000,0.9000,0.4609
415000,0.9000,0.4760
420000,1.0000,0.5041
425000,1.0000,0.4336
430000,1.0000,0.5066
435000,0.7000,0.3855
440000,1.0000,0.4688
445000,1.0000,0.4197
450000,1.0000,0.6261
455000,1.0000,0.5026
460000,0.8000,0.4915
465000,1.0000,0.5296
470000,1.0000,0.5847
475000,1.0000,0.5443
480000,1.0000,0.6588
485000,0.5000,0.4990
490000,0.9000,0.6140
495000,1.0000,0.6073
500000,0.8000,0.5269
