frames,reward,dist
5000,0.0000,0.0083
10000,0.0000,0.0106
15000,0.0000,0.0032
20000,0.0000,0.0137
25000,0.0000,0.0025
30000,0.0000,0.0132
35000,0.0000,0.0013
40000,0.9000,0.0106
45000,0.0000,0.0093
50000,0.0000,0.0057
55000,0.0000,0.0077
60000,0.3000,0.0618
65000,0.2000,0.2196
70000,0.1000,0.2809
75000,0.8000,0.2179
80000,0.8000,0.2489
85000,1.0000,0.2911
90000,1.0000,0.2603
95000,1.0000,0.2626
100000,0.9000,0.2717
105000,1.0000,0.3106
110000,1.0000,0.3043
115000,0.9000,0.2792
120000,0.9000,0.2741
125000,0.9000,0.2528
130000,0.9000,0.2378
135000,0.9000,0.2559
140000,1.0000,0.3060
145000,1.0000,0.3122
150000,1.0000,0.3199
155000,1.0000,0.2180
160000,1.0000,0.2256
165000,1.0000,0.2027
170000,1.0000,0.2807
175000,0.9000,0.2783
180000,1.0000,0.3102
185000,1.0000,0.2857
190000,1.0000,0.3402
195000,1.0000,0.2954
200000,1.0000,0.3596
205000,1.0000,0.3049
210000,1.0000,0.3250
215000,1.0000,0.3582
220000,1.0000,0.3605
225000,1.0000,0.3488
230000,1.0000,0.3341
235000,1.0000,0.3652
240000,1.0000,0.2848
245000,1.0000,0.3289
250000,1.0000,0.3280
255000,1.0000,0.3333
260000,1.0000,0.3596
265000,1.0000,0.3470
270000,0.8000,0.2152
275000,1.0000,0.2923
280000,1.0000,0.2973
285000,1.0000,0.2833
290000,1.0000,0.2900
295000,1.0000,0.3335
300000,1.0000,0.3328
