frames,reward,dist
5000,0.0000,0.6035
10000,0.0000,0.2561
15000,0.0000,0.2993
20000,0.0000,0.2894
25000,0.0000,0.1890
30000,0.0000,0.2244
35000,0.0000,0.2003
40000,0.0000,0.1900
45000,0.0000,0.1130
50000,0.0000,0.1727
55000,0.0000,0.0975
60000,0.0000,1.0617
65000,0.0000,0.9172
70000,0.0000,0.6422
75000,0.0000,1.0295
80000,0.0000,1.1270
85000,0.0000,1.0338
90000,0.0000,1.0153
95000,0.0000,0.9485
100000,0.0000,1.3801
105000,0.0000,0.7951
110000,0.0000,1.2770
115000,0.0000,0.8572
120000,0.0000,1.1963
125000,0.0000,1.0058
130000,0.0000,1.1064
135000,0.0000,1.0544
140000,0.0000,1.0848
145000,0.0000,0.9802
150000,0.0000,1.0945
155000,0.0000,0.8843
160000,0.0000,0.6742
165000,0.0000,0.5585
170000,0.0000,0.9165
175000,0.0000,0.7958
180000,0.0000,0.6979
185000,0.0000,0.7379
190000,0.0000,0.7727
195000,0.0000,0.8798
200000,0.0000,0.8677
205000,0.0000,1.2391
210000,0.0000,1.1894
215000,0.0000,0.9510
220000,0.0000,1.0943
225000,0.0000,1.0436
230000,0.0000,1.0220
235000,0.0000,1.2866
240000,0.1000,0.9168
245000,0.0000,1.0182
250000,0.0000,1.0915
255000,0.0000,1.1049
260000,0.3000,1.0227
265000,0.1000,0.9058
270000,0.3000,0.9087
275000,0.2000,0.9855
280000,0.2000,1.0766
285000,0.0000,1.0971
290000,0.2000,0.9315
295000,0.2000,0.9384
300000,0.2000,0.9790
305000,0.3000,1.0266
310000,0.1000,1.0902
315000,0.0000,0.9615
320000,0.1000,1.0163
325000,0.3000,1.1636
330000,0.2000,0.9574
335000,0.0000,0.8172
340000,0.3000,1.1475
345000,0.3000,0.8565
350000,0.2000,1.0381
355000,0.2000,0.7948
360000,0.1000,1.0766
365000,0.1000,0.7502
370000,0.4000,0.9024
375000,0.2000,0.9059
380000,0.3000,0.8139
385000,0.4000,0.9085
390000,0.4000,0.8687
395000,0.5000,0.8350
400000,0.0000,0.9868
405000,0.3000,0.8187
410000,0.3000,0.9774
415000,0.2000,0.8840
420000,0.3000,0.8711
425000,0.3000,0.8162
430000,0.4000,0.7601
435000,0.1000,0.7730
440000,0.3000,0.9302
445000,0.4000,0.9580
450000,0.4000,1.0587
455000,0.3000,0.9121
460000,0.4000,0.9171
465000,0.7000,1.1042
470000,0.3000,0.8338
475000,0.3000,1.1891
480000,0.1000,1.0867
485000,0.5000,0.8908
490000,0.3000,1.0602
495000,0.3000,1.0507
500000,0.3000,0.9302
505000,0.4000,0.8380
510000,0.7000,0.9175
515000,0.4000,0.8242
520000,0.2000,0.8259
525000,0.5000,0.9441
530000,0.4000,0.6189
535000,0.3000,0.9518
540000,0.4000,0.7971
545000,0.6000,0.9215
550000,0.8000,0.9324
555000,0.2000,0.8738
560000,0.2000,0.7076
565000,0.3000,0.9618
570000,0.6000,1.1030
575000,0.7000,1.1092
580000,0.5000,1.0773
585000,0.7000,0.6787
590000,0.5000,1.0104
595000,0.6000,0.9967
600000,0.4000,0.6708
605000,0.5000,0.9401
610000,0.3000,1.0097
615000,0.7000,0.9202
620000,0.2000,1.0035
625000,0.5000,0.8842
630000,0.4000,1.0394
635000,0.5000,0.9051
640000,0.7000,1.0494
645000,0.8000,0.9288
650000,0.5000,1.0884
655000,0.4000,0.7529
660000,0.3000,0.9994
665000,0.6000,0.8537
670000,0.5000,1.1249
675000,0.8000,0.8542
680000,0.6000,0.7865
685000,0.5000,0.9224
690000,0.9000,0.8900
695000,0.8000,1.0084
700000,0.5000,1.0385
705000,0.6000,0.7588
710000,0.7000,1.0247
715000,0.6000,0.8716
720000,0.5000,0.7835
725000,0.4000,0.7788
730000,0.7000,0.6344
735000,0.6000,0.9972
740000,0.3000,0.9015
745000,0.9000,0.8361
750000,0.8000,0.9434
755000,0.4000,1.0277
760000,0.5000,0.9788
765000,0.6000,0.9215
770000,0.4000,0.7787
775000,0.4000,0.9953
780000,0.6000,1.0055
785000,0.3000,0.7832
790000,0.5000,1.0750
795000,0.7000,0.8644
800000,0.6000,0.9741
805000,0.9000,0.9070
810000,0.7000,0.7565
815000,0.6000,0.7398
820000,0.5000,0.7285
825000,0.6000,0.8904
830000,0.6000,0.8700
835000,1.0000,1.0263
840000,0.6000,0.8070
845000,0.3000,0.6632
850000,0.7000,0.9829
855000,0.4000,0.5593
860000,0.5000,0.7811
865000,0.4000,0.6968
870000,0.4000,0.8820
875000,0.6000,0.8890
880000,0.5000,0.8227
885000,0.7000,0.9533
890000,0.6000,0.7026
895000,0.2000,0.6875
900000,0.7000,0.9646
905000,0.5000,0.6468
910000,0.5000,0.7429
915000,0.2000,0.8747
920000,0.5000,0.8316
925000,0.6000,1.0345
930000,0.6000,0.8836
935000,0.4000,0.9207
940000,0.9000,0.8630
945000,0.8000,0.6467
950000,0.4000,0.6665
955000,0.6000,0.5296
960000,0.9000,1.0196
965000,0.4000,0.4985
970000,0.6000,1.1564
975000,0.6000,0.9188
980000,0.8000,0.9429
985000,0.8000,0.7531
990000,0.6000,0.6922
995000,0.9000,0.9932
1000000,1.0000,0.9296
