frames,reward,dist
5000,0.0000,0.5781
10000,0.0000,0.2131
15000,0.0000,0.2113
20000,0.0000,0.1741
25000,0.0000,0.1392
30000,0.0000,0.1303
35000,0.0000,0.0810
40000,0.0000,0.2307
45000,0.0000,0.0666
50000,0.0000,0.1502
55000,0.0000,0.1394
60000,0.0000,0.3308
65000,0.0000,0.3183
70000,0.0000,0.4166
75000,0.0000,0.5307
80000,0.0000,0.4592
85000,0.0000,0.4509
90000,0.0000,0.3928
95000,0.0000,0.3293
100000,0.0000,0.8662
105000,0.0000,0.4324
110000,0.0000,0.4508
115000,0.0000,0.3828
120000,0.0000,0.5185
125000,0.0000,0.3980
130000,0.0000,0.4817
135000,0.0000,0.4206
140000,0.0000,0.3592
145000,0.0000,0.4349
150000,0.0000,0.3785
155000,0.0000,0.4367
160000,0.0000,0.3368
165000,0.0000,0.4671
170000,0.0000,0.5369
175000,0.0000,0.1742
180000,0.0000,0.3737
185000,0.0000,0.3119
190000,0.0000,0.3760
195000,0.0000,0.5145
200000,0.0000,1.0550
205000,0.0000,0.3806
210000,0.0000,0.4459
215000,0.0000,0.4526
220000,0.0000,1.0602
225000,0.0000,0.4434
230000,0.0000,0.2977
235000,0.0000,0.4272
240000,0.0000,0.4375
245000,0.0000,0.4474
250000,0.1000,0.4743
255000,0.0000,0.4302
260000,0.0000,0.4413
265000,0.0000,0.3592
270000,0.0000,0.3240
275000,0.0000,0.4878
280000,0.0000,0.4046
285000,0.0000,0.3828
290000,0.0000,0.3801
295000,0.0000,0.3785
300000,0.0000,0.4294
305000,0.0000,0.3784
310000,0.0000,0.4711
315000,0.0000,0.3344
320000,0.0000,0.4032
325000,0.0000,0.3761
330000,0.0000,0.4816
335000,0.0000,0.4248
340000,0.0000,0.4381
345000,0.0000,0.4942
350000,0.0000,0.4675
355000,0.0000,0.3517
360000,0.0000,0.5632
365000,0.0000,0.3695
370000,0.0000,0.5767
375000,0.0000,0.3596
380000,0.0000,0.3646
385000,0.0000,0.5278
390000,0.0000,0.3646
395000,0.1000,0.4111
400000,0.0000,0.3856
405000,0.0000,0.4273
410000,0.0000,0.3699
415000,0.0000,0.4581
420000,0.1000,0.4134
425000,0.1000,0.4628
430000,0.2000,0.3766
435000,0.2000,0.4252
440000,0.0000,0.3967
445000,0.0000,0.3975
450000,0.0000,0.4088
455000,0.1000,0.3637
460000,0.2000,0.3433
465000,0.0000,0.3168
470000,0.1000,0.4766
475000,0.0000,0.4233
480000,0.0000,0.4179
485000,0.0000,0.3734
490000,0.0000,0.3681
495000,0.0000,0.3718
500000,0.1000,0.4185
505000,0.0000,0.5149
510000,0.1000,0.3560
515000,0.3000,0.4254
520000,0.5000,0.2987
525000,0.3000,0.3502
530000,0.2000,0.4408
535000,0.1000,0.3622
540000,0.3000,0.4427
545000,0.1000,0.4102
550000,0.1000,0.4512
555000,0.1000,0.3930
560000,0.0000,0.4873
565000,0.1000,0.7102
570000,0.4000,0.3244
575000,0.3000,0.3990
580000,0.2000,0.3587
585000,0.4000,0.3392
590000,0.0000,0.4996
595000,0.1000,0.4193
600000,0.1000,0.4978
605000,0.0000,0.4403
610000,0.1000,0.4257
615000,0.1000,0.4666
620000,0.1000,0.4317
625000,0.2000,0.4860
630000,0.0000,0.5085
635000,0.0000,0.4973
640000,0.2000,0.7202
645000,0.0000,0.3572
650000,0.1000,0.4639
655000,0.1000,0.3733
660000,0.0000,0.4083
665000,0.0000,0.4429
670000,0.2000,0.4344
675000,0.1000,0.5218
680000,0.2000,0.5352
685000,0.3000,0.5564
690000,0.0000,0.4979
695000,0.1000,0.4242
700000,0.0000,0.4548
705000,0.1000,0.3553
710000,0.1000,0.4098
715000,0.0000,0.4742
720000,0.3000,0.4220
725000,0.0000,0.5440
730000,0.2000,0.4688
735000,0.0000,0.4756
740000,0.2000,0.5232
745000,0.1000,0.4856
750000,0.2000,0.4132
755000,0.3000,0.4722
760000,0.2000,0.5235
765000,0.2000,0.4323
770000,0.0000,0.5119
775000,0.5000,0.4039
780000,0.4000,0.3846
785000,0.0000,0.4237
790000,0.0000,0.5629
795000,0.2000,0.4634
800000,0.2000,0.5150
805000,0.2000,0.5356
810000,0.1000,0.5304
815000,0.1000,0.5768
820000,0.4000,0.4171
825000,0.4000,0.4936
830000,0.3000,0.4320
835000,0.2000,0.5112
840000,0.2000,0.5429
845000,0.2000,0.4389
850000,0.3000,0.4928
855000,0.1000,0.3479
860000,0.5000,0.3891
865000,0.2000,0.4534
870000,0.5000,0.4738
875000,0.4000,0.5581
880000,0.2000,0.5494
885000,0.6000,0.4697
890000,0.1000,0.4683
895000,0.5000,0.5343
900000,0.2000,0.6171
905000,0.2000,0.4618
910000,0.3000,0.3531
915000,0.1000,0.5236
920000,0.2000,0.4291
925000,0.3000,0.4427
930000,0.4000,0.4790
935000,0.3000,0.4196
940000,0.0000,0.4331
945000,0.1000,0.4769
950000,0.2000,0.5388
955000,0.6000,0.4540
960000,0.2000,0.4234
965000,0.2000,0.4829
970000,0.2000,0.4659
975000,0.2000,0.5064
980000,0.4000,0.4579
985000,0.5000,0.4418
990000,0.3000,0.4360
995000,0.3000,0.4427
1000000,0.1000,0.4577
