frames,reward,dist
5000,0.0000,7.5799
10000,0.0000,6.7659
15000,0.0000,4.6881
20000,0.0000,4.4306
25000,0.0000,6.0256
30000,0.0000,3.9950
35000,0.0000,6.1298
40000,0.0000,4.7742
45000,0.0000,3.2219
50000,0.0000,3.5552
55000,0.0000,0.3536
60000,0.0000,1.6498
65000,0.0000,1.4289
70000,0.0000,2.0271
75000,0.0000,1.3986
80000,0.0000,1.3724
85000,0.0000,1.6943
90000,0.0000,1.4637
95000,0.0000,1.6769
100000,0.0000,1.1604
105000,0.0000,1.2966
110000,0.0000,1.1693
115000,0.0000,1.2677
120000,0.0000,0.9822
125000,0.0000,1.3421
130000,0.0000,1.5745
135000,0.0000,1.2020
140000,0.0000,1.1453
145000,0.0000,1.2166
150000,0.0000,1.3116
155000,0.0000,1.1368
160000,0.0000,1.2072
165000,0.0000,0.9766
170000,0.0000,1.1713
175000,0.0000,1.3587
180000,0.0000,1.1335
185000,0.1000,1.2283
190000,0.0000,1.2496
195000,0.1000,1.1555
200000,0.1000,1.2743
205000,0.0000,1.1066
210000,0.4000,1.0244
215000,0.1000,1.2248
220000,0.0000,1.0434
225000,0.3000,1.0146
230000,0.0000,0.7448
235000,0.4000,0.7428
240000,0.2000,0.9029
245000,0.1000,0.8274
250000,0.3000,0.7707
255000,0.1000,1.3547
260000,0.0000,0.7743
265000,0.0000,0.8509
270000,0.3000,0.7741
275000,0.1000,0.8849
280000,0.0000,0.8835
285000,0.3000,0.6336
290000,0.1000,0.7861
295000,0.1000,0.7912
300000,0.2000,0.7412
305000,0.1000,0.8120
310000,0.1000,1.0150
315000,0.2000,0.8218
320000,0.4000,0.6652
325000,0.1000,0.7975
330000,0.2000,0.5206
335000,0.2000,0.6789
340000,0.3000,0.7488
345000,0.0000,0.6356
350000,0.2000,0.5686
355000,0.1000,0.6668
360000,0.0000,0.5571
365000,0.1000,0.6266
370000,0.2000,0.8101
375000,0.3000,0.7162
380000,0.2000,0.6128
385000,0.1000,0.5321
390000,0.4000,0.6699
395000,0.4000,0.6068
400000,0.0000,0.6707
405000,0.2000,0.6339
410000,0.5000,0.6227
415000,0.2000,0.5560
420000,0.3000,0.6101
425000,0.2000,0.5795
430000,0.2000,0.6071
435000,0.3000,0.6437
440000,0.3000,0.6356
445000,0.3000,0.5703
450000,0.2000,0.6513
455000,0.2000,0.6276
460000,0.4000,0.5608
465000,0.8000,0.8388
470000,0.2000,0.6233
475000,0.4000,0.7114
480000,0.8000,0.7117
485000,0.5000,0.6216
490000,0.3000,0.8024
495000,0.6000,0.7868
500000,0.5000,0.7240
505000,0.6000,0.5755
510000,0.7000,0.6708
515000,0.6000,0.5763
520000,0.4000,0.6352
525000,0.3000,0.5974
530000,0.7000,0.6077
535000,0.5000,0.6722
540000,0.5000,0.6414
545000,0.3000,0.5837
550000,0.7000,0.8747
555000,0.4000,0.7639
560000,0.5000,0.5613
565000,0.2000,0.6354
570000,0.6000,1.0075
575000,0.6000,1.0334
580000,0.7000,1.0902
585000,0.6000,0.9538
590000,0.4000,0.9538
595000,0.9000,0.9394
600000,1.0000,0.7775
605000,0.4000,0.6586
610000,0.6000,0.6568
615000,0.4000,0.5364
620000,0.0000,0.6498
625000,0.6000,0.7963
630000,0.1000,0.5862
635000,0.4000,0.5544
640000,0.5000,0.7020
645000,0.5000,0.6282
650000,0.5000,0.6241
655000,0.3000,0.6049
660000,0.3000,0.5990
665000,0.2000,0.5132
670000,0.4000,0.6178
675000,0.7000,0.6187
680000,0.4000,0.7878
685000,0.4000,0.3954
690000,0.8000,0.6488
695000,0.6000,0.5295
700000,0.6000,0.4604
705000,0.4000,0.7221
710000,0.4000,0.7861
715000,0.5000,0.5859
720000,0.4000,0.6658
725000,0.1000,0.5614
730000,0.5000,0.7589
735000,0.6000,0.7802
740000,0.4000,0.7247
745000,0.9000,0.8440
750000,0.3000,0.8839
755000,0.7000,0.6838
760000,0.8000,0.6017
765000,0.7000,0.9034
770000,0.6000,0.7698
775000,0.8000,0.8047
780000,0.7000,0.6081
785000,0.6000,0.5744
790000,0.8000,0.8636
795000,0.7000,0.6645
800000,0.9000,0.8006
805000,0.4000,0.7774
810000,0.7000,0.7896
815000,0.7000,0.8918
820000,0.5000,0.7754
825000,0.6000,0.7213
830000,0.6000,0.8197
835000,0.8000,1.1149
840000,0.4000,0.7129
845000,0.7000,0.7340
850000,0.8000,1.0225
855000,0.6000,0.7479
860000,0.4000,0.6228
865000,0.4000,0.8147
870000,0.3000,0.9634
875000,0.5000,0.5281
880000,0.6000,1.0233
885000,0.7000,0.7594
890000,0.6000,0.7719
895000,0.4000,0.6617
900000,0.5000,0.8541
905000,0.4000,0.5044
910000,0.5000,0.7851
915000,0.5000,0.6535
920000,0.4000,0.7689
925000,0.7000,0.7794
930000,0.4000,0.5887
935000,0.5000,0.6123
940000,0.6000,1.0258
945000,0.8000,0.9230
950000,0.4000,0.5632
955000,0.5000,0.7134
960000,0.7000,0.9291
965000,0.3000,0.6207
970000,0.9000,1.2101
975000,0.8000,0.9996
980000,0.7000,0.8219
985000,0.6000,0.8287
990000,0.5000,0.7412
995000,0.7000,1.1479
1000000,0.2000,0.7542
