frames,reward,dist
5000,0.0000,18.0401
10000,0.0000,19.7552
15000,0.0000,15.6245
20000,0.0000,20.0004
25000,0.0000,19.3098
30000,0.0000,19.4231
35000,0.0000,18.8442
40000,0.0000,19.0797
45000,0.0000,13.9545
50000,0.0000,10.6682
55000,0.0000,10.7905
60000,0.0000,15.1792
65000,0.0000,12.0762
70000,0.0000,12.6420
75000,0.0000,14.3392
80000,0.0000,14.3318
85000,0.0000,13.0824
90000,0.0000,16.8226
95000,0.0000,18.8775
100000,0.0000,16.8984
105000,0.0000,11.4923
110000,0.0000,23.2036
115000,0.0000,23.9557
120000,0.0000,26.5422
125000,0.0000,26.0352
130000,0.0000,25.3847
135000,0.0000,27.8958
140000,0.0000,28.0115
145000,0.0000,28.2342
150000,0.0000,27.5909
155000,0.0000,28.1380
160000,0.0000,28.1800
165000,0.0000,28.1969
170000,0.0000,28.2550
175000,0.0000,28.2485
180000,0.0000,28.1678
185000,0.0000,28.2707
190000,0.0000,28.2704
195000,0.0000,28.2687
200000,0.0000,28.2709
205000,0.0000,28.2771
210000,0.0000,28.2656
215000,0.0000,28.2685
220000,0.0000,28.2360
225000,0.0000,28.2447
230000,0.0000,27.4927
235000,0.0000,28.1547
240000,0.0000,28.1680
245000,0.0000,28.1520
250000,0.0000,28.2787
255000,0.0000,26.9130
260000,0.0000,28.0088
265000,0.0000,28.0647
270000,0.0000,25.8204
275000,0.0000,27.6388
280000,0.0000,27.5283
285000,0.0000,28.0484
290000,0.0000,27.5251
295000,0.0000,27.7580
300000,0.0000,24.9573
305000,0.0000,28.2040
310000,0.0000,27.5634
315000,0.0000,27.7023
320000,0.0000,25.1294
325000,0.0000,26.6570
330000,0.0000,27.6144
335000,0.0000,28.2540
340000,0.0000,28.2740
345000,0.0000,27.7730
350000,0.0000,28.2084
355000,0.0000,28.2673
360000,0.0000,28.2708
365000,0.0000,28.2724
370000,0.0000,27.8468
375000,0.0000,27.7178
380000,0.0000,27.8766
385000,0.0000,28.2678
390000,0.0000,28.2688
395000,0.0000,28.2634
400000,0.0000,28.2648
405000,0.0000,28.2593
410000,0.0000,28.2693
415000,0.0000,28.0292
420000,0.0000,27.8196
425000,0.0000,28.2323
430000,0.0000,27.6403
435000,0.0000,28.2634
440000,0.0000,27.6765
445000,0.0000,28.2046
450000,0.0000,27.7363
455000,0.0000,28.1852
460000,0.0000,28.2341
465000,0.0000,28.1309
470000,0.0000,28.2470
475000,0.0000,28.1900
480000,0.0000,27.5743
485000,0.0000,27.9051
490000,0.0000,28.1360
495000,0.0000,28.0860
500000,0.0000,27.2421
505000,0.0000,27.8424
510000,0.0000,28.1818
515000,0.0000,28.1298
520000,0.0000,28.1066
525000,0.0000,27.6812
530000,0.0000,28.2084
535000,0.0000,28.0788
540000,0.0000,28.1754
545000,0.0000,28.1780
550000,0.0000,28.1478
555000,0.0000,28.1863
560000,0.0000,27.9490
565000,0.0000,27.6987
570000,0.0000,27.4388
575000,0.0000,27.5185
580000,0.0000,27.1111
585000,0.0000,27.8791
590000,0.0000,28.0527
595000,0.0000,27.5008
600000,0.0000,28.1445
605000,0.0000,27.7622
610000,0.0000,27.7300
615000,0.0000,27.5578
620000,0.0000,27.8349
625000,0.0000,27.8906
630000,0.0000,27.9646
635000,0.0000,28.0686
640000,0.0000,28.2528
645000,0.0000,27.7087
650000,0.0000,28.1075
655000,0.0000,27.5795
660000,0.0000,28.1824
665000,0.0000,28.0783
670000,0.0000,27.3153
675000,0.0000,27.6939
680000,0.0000,27.6047
685000,0.0000,27.8246
690000,0.0000,27.6626
695000,0.0000,27.8783
700000,0.0000,27.9676
705000,0.0000,28.0011
710000,0.0000,27.8824
715000,0.0000,27.3371
720000,0.0000,27.9136
725000,0.0000,27.9728
730000,0.0000,28.2690
735000,0.0000,27.7473
740000,0.0000,28.0696
745000,0.0000,27.9676
750000,0.0000,28.1375
755000,0.0000,28.0719
760000,0.0000,27.8643
765000,0.0000,28.2291
770000,0.0000,27.9263
775000,0.0000,28.2083
780000,0.0000,28.2673
785000,0.0000,27.7561
790000,0.0000,28.2370
795000,0.0000,27.6701
800000,0.0000,28.0688
805000,0.0000,27.7894
810000,0.0000,28.1623
815000,0.0000,27.9975
820000,0.0000,27.9622
825000,0.0000,28.0171
830000,0.0000,27.9811
835000,0.0000,27.9942
840000,0.0000,27.5329
845000,0.0000,27.7639
850000,0.0000,28.0582
855000,0.0000,27.9795
860000,0.0000,27.8725
865000,0.0000,27.8039
870000,0.0000,27.1478
875000,0.0000,27.6361
880000,0.0000,27.4353
885000,0.0000,27.9725
890000,0.0000,28.2155
895000,0.0000,27.9262
900000,0.0000,28.0402
905000,0.0000,27.9625
910000,0.0000,27.7791
915000,0.0000,28.1071
920000,0.0000,27.9807
925000,0.0000,27.5410
930000,0.0000,27.2817
935000,0.0000,27.8388
940000,0.0000,28.0433
945000,0.0000,28.0799
950000,0.0000,27.5381
955000,0.0000,28.1178
960000,0.0000,28.2500
965000,0.0000,28.0996
970000,0.0000,28.2009
975000,0.0000,27.8123
980000,0.0000,28.0856
985000,0.0000,28.2204
990000,0.0000,27.9948
995000,0.0000,27.7807
1000000,0.0000,28.0624
