frames,reward,dist
5000,0.0000,6.9058
10000,0.0000,5.6437
15000,0.0000,5.6049
20000,0.0000,5.1345
25000,0.0000,4.8281
30000,0.0000,3.2369
35000,0.0000,3.9101
40000,0.0000,4.4576
45000,0.0000,3.6402
50000,0.0000,4.6805
55000,0.0000,0.5354
60000,0.0000,0.4847
65000,0.0000,0.4203
70000,0.0000,0.3101
75000,0.0000,0.3714
80000,0.0000,0.4796
85000,0.0000,0.4174
90000,0.0000,0.3448
95000,0.0000,0.5365
100000,0.0000,0.3774
105000,0.0000,0.6189
110000,0.0000,0.4643
115000,0.0000,0.4849
120000,0.0000,0.2809
125000,0.0000,0.4123
130000,0.0000,0.2010
135000,0.0000,0.5988
140000,0.0000,0.4765
145000,0.0000,0.5354
150000,0.0000,0.2836
155000,0.0000,0.3243
160000,0.0000,0.4327
165000,0.0000,0.4559
170000,0.0000,0.3282
175000,0.0000,0.3759
180000,0.0000,0.5642
185000,0.0000,0.4300
190000,0.0000,0.4203
195000,0.0000,0.4058
200000,0.0000,0.4411
205000,0.0000,0.4262
210000,0.0000,0.3676
215000,0.0000,0.4265
220000,0.0000,0.3004
225000,0.0000,0.2930
230000,0.0000,0.4123
235000,0.0000,0.3997
240000,0.0000,0.4813
245000,0.0000,0.3298
250000,0.0000,0.3866
255000,0.0000,0.3732
260000,0.0000,0.3603
265000,0.0000,0.5210
270000,0.0000,0.3599
275000,0.0000,0.5239
280000,0.0000,0.6566
285000,0.0000,0.4814
290000,0.0000,0.6862
295000,0.0000,0.4769
300000,0.0000,0.4595
305000,0.0000,0.4726
310000,0.0000,0.4375
315000,0.0000,0.3335
320000,0.0000,0.4300
325000,0.0000,0.3713
330000,0.0000,0.3118
335000,0.0000,0.2926
340000,0.0000,0.3850
345000,0.0000,0.3278
350000,0.0000,0.3489
355000,0.0000,0.3696
360000,0.0000,0.3060
365000,0.0000,0.3070
370000,0.0000,0.2907
375000,0.0000,0.2726
380000,0.0000,0.3511
385000,0.0000,0.3793
390000,0.0000,0.3480
395000,0.0000,0.4158
400000,0.0000,0.3572
405000,0.0000,0.4406
410000,0.0000,0.5335
415000,0.0000,0.3815
420000,0.0000,0.3369
425000,0.0000,0.3804
430000,0.0000,0.3217
435000,0.0000,0.4322
440000,0.0000,0.3637
445000,0.0000,0.4132
450000,0.0000,0.3632
455000,0.0000,0.4576
460000,0.0000,0.3778
465000,0.0000,0.4745
470000,0.0000,0.4077
475000,0.0000,0.4413
480000,0.0000,0.4339
485000,0.0000,0.4489
490000,0.0000,0.3881
495000,0.0000,0.4725
500000,0.0000,0.7375
505000,0.0000,0.3178
510000,0.0000,0.2328
515000,0.0000,0.2727
520000,0.0000,0.3478
525000,0.0000,0.3274
530000,0.0000,0.3054
535000,0.0000,0.3185
540000,0.0000,0.2991
545000,0.0000,0.3374
550000,0.0000,0.2789
555000,0.0000,0.2820
560000,0.0000,0.2526
565000,0.0000,0.2475
570000,0.0000,0.2382
575000,0.0000,0.2623
580000,0.0000,0.2542
585000,0.0000,0.2750
590000,0.0000,0.2455
595000,0.0000,0.2471
600000,0.0000,0.2592
605000,0.0000,0.3036
610000,0.0000,0.2161
615000,0.0000,0.2826
620000,0.0000,0.2041
625000,0.0000,0.2179
630000,0.0000,0.2154
635000,0.0000,0.2229
640000,0.0000,0.2020
645000,0.0000,0.2288
650000,0.0000,0.2601
655000,0.0000,0.2428
660000,0.0000,0.2483
665000,0.0000,0.2643
670000,0.0000,0.2108
675000,0.0000,0.2110
680000,0.0000,0.2521
685000,0.0000,0.2106
690000,0.0000,0.2263
695000,0.0000,0.2300
700000,0.0000,0.1915
705000,0.0000,0.2017
710000,0.0000,0.2373
715000,0.0000,0.2459
720000,0.0000,0.2058
725000,0.0000,0.2060
730000,0.0000,0.2244
735000,0.0000,0.2278
740000,0.0000,0.1754
745000,0.0000,0.2281
750000,0.0000,0.2595
755000,0.0000,0.5654
760000,0.0000,0.4938
765000,0.0000,0.5170
770000,0.0000,0.4985
775000,0.0000,0.3321
780000,0.0000,0.4571
785000,0.0000,0.4309
790000,0.0000,0.4439
795000,0.0000,0.3903
800000,0.0000,0.5301
805000,0.0000,0.4156
810000,0.0000,0.4044
815000,0.0000,0.5218
820000,0.0000,0.3601
825000,0.0000,0.4356
830000,0.0000,0.3648
835000,0.0000,0.4677
840000,0.0000,0.4946
845000,0.0000,0.4755
850000,0.0000,0.4945
855000,0.0000,0.4123
860000,0.0000,0.3665
865000,0.0000,0.5961
870000,0.0000,0.5846
875000,0.0000,0.4649
880000,0.0000,0.5443
885000,0.0000,0.5474
890000,0.0000,0.4098
895000,0.0000,0.4260
900000,0.0000,0.4343
905000,0.0000,0.3823
910000,0.0000,0.4536
915000,0.0000,0.6042
920000,0.0000,0.5070
925000,0.0000,0.4637
930000,0.0000,0.3960
935000,0.0000,0.3443
940000,0.0000,0.4562
945000,0.0000,0.4530
950000,0.0000,0.4276
955000,0.0000,0.4718
960000,0.0000,0.4715
965000,0.0000,0.5450
970000,0.0000,0.4632
975000,0.0000,0.5885
980000,0.0000,0.6095
985000,0.0000,0.3769
990000,0.0000,0.5556
995000,0.0000,0.5004
1000000,0.0000,0.4878
