frames,reward,dist
5000,0.0000,22.7657
10000,0.0000,0.8174
15000,0.0000,0.8975
20000,0.0000,0.2425
25000,0.0000,0.5667
30000,0.0000,0.3558
35000,0.0000,0.4478
40000,0.0000,0.5659
45000,0.0000,1.2290
50000,0.0000,0.3743
55000,0.0000,0.2951
60000,0.1000,2.0313
65000,0.0000,1.1216
70000,0.0000,1.0838
75000,0.0000,2.1912
80000,0.0000,1.0478
85000,0.0000,1.3266
90000,0.0000,0.9330
95000,0.1000,0.6896
100000,0.0000,0.7877
105000,0.0000,1.0763
110000,0.0000,0.9403
115000,0.0000,0.9170
120000,0.0000,0.8768
125000,0.0000,0.7619
130000,0.0000,0.7136
135000,0.0000,0.5295
140000,0.0000,1.4534
145000,0.0000,0.8532
150000,0.0000,0.6878
155000,0.0000,1.1463
160000,0.0000,0.6474
165000,0.0000,0.8564
170000,0.2000,0.8636
175000,0.0000,0.9960
180000,0.0000,0.7306
185000,0.0000,0.5176
190000,0.0000,1.0678
195000,0.0000,0.8571
200000,0.0000,0.7048
205000,0.0000,0.6521
210000,0.0000,0.8632
215000,0.0000,0.8647
220000,0.0000,0.7379
225000,0.0000,0.9324
230000,0.1000,0.6665
235000,0.0000,0.6876
240000,0.0000,0.7244
245000,0.0000,0.8115
250000,0.1000,0.9430
255000,0.0000,0.7721
260000,0.0000,0.4768
265000,0.0000,0.7007
270000,0.0000,0.8380
275000,0.0000,0.9438
280000,0.0000,0.9929
285000,0.1000,0.9806
290000,0.0000,0.7398
295000,0.0000,1.4337
300000,0.3000,0.9132
305000,0.1000,0.6914
310000,0.0000,0.6689
315000,0.0000,1.0185
320000,0.0000,1.1268
325000,0.0000,1.1157
330000,0.0000,0.7819
335000,0.0000,0.7170
340000,0.0000,1.3822
345000,0.0000,1.4661
350000,0.0000,1.3824
355000,0.0000,1.1328
360000,0.1000,0.8480
365000,0.0000,1.3479
370000,0.0000,1.4740
375000,0.1000,0.8725
380000,0.0000,1.4346
385000,0.0000,0.9883
390000,0.0000,1.1775
395000,0.0000,0.8310
400000,0.1000,1.1284
405000,0.0000,0.8372
410000,0.0000,1.4036
415000,0.0000,0.9013
420000,0.0000,1.0581
425000,0.0000,0.9915
430000,0.0000,1.0446
435000,0.0000,1.2627
440000,0.0000,1.3132
445000,0.1000,1.0042
450000,0.0000,0.9294
455000,0.0000,1.0384
460000,0.0000,1.0769
465000,0.3000,1.2093
470000,0.0000,1.0202
475000,0.0000,0.9433
480000,0.1000,1.7783
485000,0.0000,1.1321
490000,0.1000,0.8091
495000,0.0000,1.2910
500000,0.3000,1.0404
505000,0.0000,1.3576
510000,0.2000,0.8819
515000,0.2000,1.1134
520000,0.2000,1.0393
525000,0.2000,0.9201
530000,0.0000,1.2075
535000,0.6000,1.0789
540000,0.2000,0.8103
545000,0.1000,1.3678
550000,0.0000,1.0745
555000,0.0000,1.1735
560000,0.1000,0.8798
565000,0.0000,0.7664
570000,0.0000,1.2365
575000,0.0000,1.1673
580000,0.3000,1.1873
585000,0.2000,1.0351
590000,0.1000,1.0217
595000,0.1000,1.4310
600000,0.0000,0.6924
605000,0.2000,1.2496
610000,0.0000,1.3017
615000,0.1000,1.0487
620000,0.0000,0.9726
625000,0.5000,1.2787
630000,0.1000,0.6745
635000,0.0000,1.2137
640000,0.0000,0.8477
645000,0.5000,1.1233
650000,0.2000,0.8255
655000,0.1000,1.0692
660000,0.0000,0.8317
665000,0.5000,0.6510
670000,0.7000,0.7470
675000,0.2000,1.0658
680000,0.0000,1.1653
685000,0.3000,0.6878
690000,0.2000,0.9480
695000,0.1000,1.1267
700000,0.1000,0.7397
705000,0.0000,1.1069
710000,0.2000,0.7773
715000,0.4000,1.1358
720000,0.1000,0.9418
725000,0.0000,0.6297
730000,0.1000,1.1585
735000,0.4000,1.2966
740000,0.3000,1.3451
745000,0.7000,0.7963
750000,0.1000,1.0116
755000,0.3000,1.1131
760000,0.2000,0.9723
765000,0.0000,1.1348
770000,0.3000,0.7702
775000,0.2000,0.5781
780000,0.1000,1.2724
785000,0.3000,0.8742
790000,0.1000,0.9859
795000,0.0000,0.8143
800000,0.1000,0.5067
805000,0.2000,0.6271
810000,0.1000,0.6730
815000,0.0000,1.0718
820000,0.3000,0.6346
825000,0.5000,0.8261
830000,0.2000,0.8923
835000,0.3000,0.9697
840000,0.5000,0.8112
845000,0.2000,0.6029
850000,0.3000,0.5685
855000,0.0000,0.5439
860000,0.0000,0.5265
865000,0.3000,0.5241
870000,0.5000,0.7366
875000,0.1000,0.3940
880000,0.3000,0.7271
885000,0.3000,0.5343
890000,0.2000,0.5958
895000,0.3000,0.5643
900000,0.2000,0.7123
905000,0.4000,0.4655
910000,0.3000,0.4921
915000,0.0000,0.5397
920000,0.3000,0.5280
925000,0.3000,0.4653
930000,0.2000,0.3798
935000,0.5000,0.6383
940000,0.3000,0.4551
945000,0.2000,0.4158
950000,0.4000,0.7952
955000,0.4000,0.6983
960000,0.2000,0.8741
965000,0.5000,0.8113
970000,0.2000,0.5123
975000,0.3000,0.9493
980000,0.2000,0.5994
985000,0.3000,0.5878
990000,0.7000,0.4387
995000,0.2000,0.6524
1000000,0.2000,0.5882
