frames,reward,dist
5000,0.0000,2.1056
10000,0.0000,1.1509
15000,0.0000,0.6748
20000,0.0000,0.5996
25000,0.0000,0.3637
30000,0.0000,1.3770
35000,0.0000,0.6109
40000,0.0000,0.4304
45000,0.0000,0.3947
50000,0.0000,0.3619
55000,0.0000,0.7212
60000,0.0000,0.5508
65000,0.0000,0.4415
70000,0.0000,0.4901
75000,0.1000,1.0833
80000,0.0000,0.4353
85000,0.0000,1.1461
90000,0.0000,1.0351
95000,0.0000,0.4349
100000,0.0000,0.4029
105000,0.0000,0.3369
110000,0.0000,0.6852
115000,0.1000,1.0358
120000,0.0000,0.8636
125000,0.0000,0.3673
130000,0.0000,0.7468
135000,0.1000,1.1900
140000,0.0000,1.1513
145000,0.0000,0.4899
150000,0.0000,0.6225
155000,0.0000,0.5281
160000,0.0000,0.2680
165000,0.0000,0.5912
170000,0.0000,0.7889
175000,0.0000,0.5802
180000,0.0000,0.4417
185000,0.0000,0.3827
190000,0.0000,0.3566
195000,0.0000,0.3646
200000,0.0000,0.4778
205000,0.0000,0.3202
210000,0.0000,0.3507
215000,0.0000,0.7018
220000,0.0000,0.3954
225000,0.0000,0.3810
230000,0.0000,0.4165
235000,0.0000,0.5153
240000,0.0000,0.3591
245000,0.0000,0.4037
250000,0.0000,0.7776
255000,0.0000,0.2817
260000,0.0000,0.5546
265000,0.0000,0.4852
270000,0.0000,0.4555
275000,0.0000,0.5458
280000,0.0000,1.5446
285000,0.0000,0.3696
290000,0.0000,0.3919
295000,0.0000,0.6445
300000,0.0000,0.4169
305000,0.0000,0.3683
310000,0.0000,0.4755
315000,0.0000,1.0403
320000,0.0000,1.2051
325000,0.0000,0.3078
330000,0.0000,0.3681
335000,0.0000,0.3229
340000,0.0000,0.7579
345000,0.0000,0.3567
350000,0.0000,0.6016
355000,0.0000,0.5412
360000,0.0000,0.4790
365000,0.0000,0.5136
370000,0.0000,0.3604
375000,0.0000,0.3952
380000,0.0000,0.3405
385000,0.0000,0.3186
390000,0.0000,0.3378
395000,0.0000,0.4573
400000,0.0000,0.3293
405000,0.0000,0.4157
410000,0.0000,0.5295
415000,0.2000,0.9551
420000,0.0000,0.3434
425000,0.1000,1.0709
430000,0.2000,1.0743
435000,0.0000,0.4121
440000,0.0000,0.3207
445000,0.0000,0.2991
450000,0.0000,0.4414
455000,0.0000,0.3799
460000,0.0000,0.3451
465000,0.0000,0.5320
470000,0.0000,0.3906
475000,0.0000,0.3564
480000,0.0000,0.4921
485000,0.0000,0.4591
490000,0.0000,0.9576
495000,0.0000,0.3463
500000,0.0000,0.5463
505000,0.0000,0.3014
510000,0.1000,0.4992
515000,0.0000,0.3938
520000,0.2000,0.4969
525000,0.0000,0.3635
530000,0.0000,0.4241
535000,0.0000,0.5330
540000,0.0000,0.4110
545000,0.0000,0.3160
550000,0.0000,0.6097
555000,0.0000,0.3447
560000,0.0000,0.5030
565000,0.1000,1.1063
570000,0.0000,0.5190
575000,0.0000,0.3660
580000,0.1000,0.4793
585000,0.0000,0.3969
590000,0.0000,0.4191
595000,0.0000,0.2645
600000,0.0000,0.3262
605000,0.0000,0.4952
610000,0.0000,0.4429
615000,0.0000,0.4273
620000,0.0000,0.4285
625000,0.0000,0.4437
630000,0.0000,0.3774
635000,0.0000,0.3952
640000,0.0000,0.5330
645000,0.0000,0.3575
650000,0.0000,0.2656
655000,0.0000,0.2671
660000,0.1000,1.0580
665000,0.0000,0.3686
670000,0.0000,0.2777
675000,0.0000,0.2387
680000,0.1000,0.5215
685000,0.0000,0.3168
690000,0.0000,0.5027
695000,0.0000,0.5690
700000,0.0000,0.3290
705000,0.2000,0.3228
710000,0.0000,0.5660
715000,0.0000,0.4126
720000,0.0000,0.5742
725000,0.0000,0.5192
730000,0.0000,0.3088
735000,0.0000,0.3353
740000,0.0000,0.5113
745000,0.0000,0.5650
750000,0.0000,0.4312
755000,0.0000,0.3715
760000,0.0000,0.4714
765000,0.0000,0.4465
770000,0.0000,0.5188
775000,0.0000,0.5563
780000,0.0000,0.4356
785000,0.0000,0.3012
790000,0.0000,0.3507
795000,0.0000,0.4480
800000,0.0000,0.4876
805000,0.0000,0.3980
810000,0.0000,0.2840
815000,0.0000,0.3249
820000,0.0000,0.3088
825000,0.0000,0.3475
830000,0.0000,0.5910
835000,0.0000,0.5120
840000,0.0000,0.5588
845000,0.0000,0.3860
850000,0.0000,0.2795
855000,0.0000,0.3940
860000,0.0000,0.4077
865000,0.2000,0.5109
870000,0.0000,0.4328
875000,0.0000,0.5349
880000,0.0000,0.4392
885000,0.0000,0.3577
890000,0.0000,0.5645
895000,0.1000,0.4155
900000,0.1000,0.3802
905000,0.0000,0.4873
910000,0.0000,0.7554
915000,0.0000,0.4364
920000,0.0000,0.5201
925000,0.1000,0.5572
930000,0.1000,0.5115
935000,0.0000,0.4807
940000,0.0000,0.4317
945000,0.1000,0.5584
950000,0.0000,0.5382
955000,0.0000,0.5099
960000,0.0000,0.4839
965000,0.0000,0.5061
970000,0.0000,0.4719
975000,0.0000,0.5447
980000,0.2000,0.4092
985000,0.2000,0.4744
990000,0.0000,0.3816
995000,0.0000,0.4298
1000000,0.0000,0.4133
