frames,reward,dist
5000,0.0000,10.2967
10000,0.0000,12.5930
15000,0.0000,5.5507
20000,0.0000,6.4511
25000,0.0000,3.4071
30000,0.0000,3.6819
35000,0.0000,3.3456
40000,0.0000,2.8580
45000,0.0000,3.1677
50000,0.0000,3.1377
55000,0.0000,0.8872
60000,0.0000,1.8485
65000,0.0000,0.6927
70000,0.0000,1.4357
75000,0.0000,0.6903
80000,0.0000,1.7503
85000,0.0000,2.0013
90000,0.0000,1.2259
95000,0.1000,0.9457
100000,0.0000,0.5794
105000,0.0000,1.2607
110000,0.0000,1.0999
115000,0.0000,1.2729
120000,0.0000,0.8815
125000,0.0000,0.9941
130000,0.0000,1.0140
135000,0.0000,2.2818
140000,0.0000,1.0539
145000,0.0000,0.5765
150000,0.1000,1.1802
155000,0.0000,0.7163
160000,0.0000,1.6284
165000,0.0000,0.7466
170000,0.3000,1.4031
175000,0.0000,0.8770
180000,0.1000,1.3140
185000,0.0000,0.7076
190000,0.0000,1.4486
195000,0.2000,0.6290
200000,0.2000,0.8643
205000,0.0000,2.2987
210000,0.2000,1.0899
215000,0.0000,1.1762
220000,0.1000,1.8058
225000,0.0000,2.3336
230000,0.0000,1.1139
235000,0.0000,1.9178
240000,0.4000,0.6824
245000,0.0000,0.8097
250000,0.1000,1.4899
255000,0.2000,1.3283
260000,0.2000,1.0723
265000,0.3000,1.7887
270000,0.0000,0.7104
275000,0.2000,0.9948
280000,0.0000,1.1237
285000,0.1000,1.7358
290000,0.1000,1.5419
295000,0.0000,0.9495
300000,0.0000,1.2064
305000,0.0000,1.1154
310000,0.0000,0.4515
315000,0.0000,1.4133
320000,0.2000,1.0622
325000,0.0000,1.5157
330000,0.2000,1.5750
335000,0.0000,1.2023
340000,0.3000,1.7911
345000,0.5000,1.0557
350000,0.4000,1.0595
355000,0.2000,1.1610
360000,0.0000,1.4546
365000,0.3000,1.1207
370000,0.0000,1.0844
375000,0.2000,1.2505
380000,0.2000,0.9067
385000,0.3000,0.9526
390000,0.2000,1.5353
395000,0.1000,0.7913
400000,0.2000,1.1260
405000,0.3000,1.8105
410000,0.1000,0.5146
415000,0.1000,0.9372
420000,0.3000,0.8623
425000,0.1000,0.9295
430000,0.5000,1.2567
435000,0.2000,0.6869
440000,0.0000,0.8629
445000,0.2000,1.2750
450000,0.3000,1.4266
455000,0.3000,0.8874
460000,0.3000,1.1389
465000,0.1000,0.7768
470000,0.2000,0.6684
475000,0.6000,1.1071
480000,0.0000,1.2191
485000,0.6000,0.9373
490000,0.3000,0.5414
495000,0.0000,0.8169
500000,0.1000,0.7410
505000,0.2000,0.8371
510000,0.2000,1.4709
515000,0.2000,0.6753
520000,0.1000,0.5727
525000,0.2000,0.7850
530000,0.1000,0.5750
535000,0.6000,0.7572
540000,0.4000,0.7845
545000,0.4000,0.9620
550000,0.0000,1.0877
555000,0.4000,0.7452
560000,0.7000,0.7706
565000,0.2000,0.6381
570000,0.0000,0.7748
575000,0.1000,0.6091
580000,0.5000,0.7439
585000,0.0000,0.5147
590000,0.3000,0.6766
595000,0.3000,0.5489
600000,0.1000,0.6040
605000,0.0000,0.8942
610000,0.3000,0.3449
615000,0.4000,0.6029
620000,0.2000,0.4557
625000,0.2000,0.6562
630000,0.3000,0.9320
635000,0.2000,0.4794
640000,0.4000,0.6031
645000,0.6000,0.7460
650000,0.3000,0.4398
655000,0.4000,0.5404
660000,0.3000,0.5514
665000,0.6000,0.6151
670000,0.1000,0.8919
675000,0.5000,0.7264
680000,0.5000,0.6120
685000,0.2000,0.7365
690000,0.1000,0.5257
695000,0.5000,0.6514
700000,0.1000,0.6927
705000,0.4000,0.5741
710000,0.3000,0.5096
715000,0.4000,0.6918
720000,0.5000,0.5907
725000,0.3000,0.5767
730000,0.3000,0.6566
735000,0.5000,0.7002
740000,0.2000,0.6739
745000,0.7000,0.8852
750000,0.5000,0.7357
755000,0.5000,0.6758
760000,0.2000,0.4600
765000,0.3000,0.4950
770000,0.2000,0.4859
775000,0.4000,0.6168
780000,0.6000,0.8569
785000,0.1000,0.4012
790000,0.3000,0.4914
795000,0.7000,0.8791
800000,0.3000,0.6606
805000,0.5000,0.7167
810000,0.3000,0.5897
815000,0.1000,0.4344
820000,0.4000,0.5420
825000,0.1000,0.4494
830000,0.3000,0.5242
835000,0.5000,0.6890
840000,0.4000,0.5545
845000,0.6000,0.7240
850000,0.2000,0.3867
855000,0.3000,0.5005
860000,0.6000,0.7326
865000,0.6000,0.7175
870000,0.3000,0.5424
875000,0.2000,0.5028
880000,0.4000,0.5052
885000,0.5000,0.5942
890000,0.1000,0.6067
895000,0.2000,0.4051
900000,0.5000,0.6204
905000,0.3000,0.4875
910000,0.8000,1.0589
915000,0.3000,0.4723
920000,0.5000,0.6449
925000,0.6000,0.7212
930000,0.6000,0.9616
935000,0.4000,0.7080
940000,0.9000,1.5467
945000,0.5000,0.6716
950000,0.2000,0.4072
955000,0.7000,0.8174
960000,0.4000,0.5841
965000,0.4000,0.6016
970000,0.3000,0.6772
975000,0.2000,0.5019
980000,0.3000,0.5755
985000,0.5000,0.5924
990000,0.4000,0.6047
995000,0.3000,0.5112
1000000,0.8000,1.2056
