frames,reward,dist
5000,0.0000,26.1719
10000,0.0000,29.4907
15000,0.0000,22.5533
20000,0.0000,26.8435
25000,0.2000,27.4331
30000,0.1000,32.4548
35000,0.0000,33.2901
40000,0.0000,31.1277
45000,0.0000,29.4246
50000,0.0000,30.1770
55000,0.0000,31.4027
60000,0.0000,29.4191
65000,0.1000,28.4632
70000,0.0000,23.4791
75000,0.0000,22.9704
80000,0.0000,27.5042
85000,0.0000,29.3393
90000,0.0000,25.4744
95000,0.0000,24.5393
100000,0.0000,25.5219
105000,0.0000,27.6917
110000,0.0000,27.8008
115000,0.0000,26.9155
120000,0.1000,23.1085
125000,0.0000,24.1612
130000,0.0000,27.1011
135000,0.2000,28.3378
140000,0.0000,24.7580
145000,0.0000,34.8713
150000,0.0000,32.4306
155000,0.0000,31.8549
160000,0.0000,34.8907
165000,0.0000,25.5720
170000,0.0000,25.0520
175000,0.0000,23.5159
180000,0.1000,27.8755
185000,0.1000,28.5264
190000,0.0000,29.8852
195000,0.0000,24.9373
200000,0.0000,28.3525
205000,0.0000,25.0021
210000,0.0000,25.9095
215000,0.2000,23.4094
220000,0.0000,26.2181
225000,0.0000,28.2214
230000,0.1000,30.7499
235000,0.1000,30.7666
240000,0.0000,32.4633
245000,0.0000,29.5842
250000,0.0000,30.5569
255000,0.1000,29.6138
260000,0.0000,30.6697
265000,0.0000,32.8964
270000,0.2000,29.9027
275000,0.1000,35.3695
280000,0.0000,35.4486
285000,0.0000,31.9765
290000,0.0000,34.6099
295000,0.0000,33.9838
300000,0.0000,35.4868
305000,0.1000,34.1421
310000,0.0000,33.5715
315000,0.1000,33.6914
320000,0.1000,34.1274
325000,0.0000,34.5426
330000,0.1000,35.3710
335000,0.2000,34.2545
340000,0.0000,33.1465
345000,0.0000,34.5790
350000,0.1000,31.5830
355000,0.1000,33.3969
360000,0.1000,32.3601
365000,0.1000,33.7687
370000,0.0000,33.1209
375000,0.0000,35.1750
380000,0.0000,35.5486
385000,0.0000,33.0987
390000,0.0000,34.8609
395000,0.0000,35.8227
400000,0.0000,30.8712
405000,0.0000,31.6088
410000,0.0000,31.9035
415000,0.0000,33.6565
420000,0.1000,34.1477
425000,0.0000,31.9580
430000,0.0000,34.6577
435000,0.1000,34.9500
440000,0.0000,35.8395
445000,0.1000,32.5496
450000,0.0000,34.2224
455000,0.0000,34.5823
460000,0.0000,33.8143
465000,0.0000,35.9341
470000,0.0000,33.6089
475000,0.0000,35.9213
480000,0.0000,35.9258
485000,0.0000,32.8944
490000,0.0000,34.9970
495000,0.0000,33.1745
500000,0.0000,33.6753
505000,0.0000,34.6903
510000,0.1000,33.9670
515000,0.0000,34.7002
520000,0.0000,34.6752
525000,0.1000,31.8291
530000,0.1000,35.7574
535000,0.0000,34.2685
540000,0.0000,34.2057
545000,0.0000,35.2376
550000,0.0000,35.9802
555000,0.1000,34.6324
560000,0.0000,32.8972
565000,0.0000,34.2767
570000,0.0000,35.9831
575000,0.0000,31.7382
580000,0.0000,32.5729
585000,0.0000,32.5084
590000,0.0000,34.4992
595000,0.0000,35.2321
600000,0.0000,36.0739
605000,0.0000,34.8282
610000,0.0000,34.6707
615000,0.0000,30.1766
620000,0.0000,31.5040
625000,0.0000,31.5334
630000,0.0000,35.5734
635000,0.0000,30.0399
640000,0.0000,28.0637
645000,0.0000,29.6731
650000,0.0000,29.2798
655000,0.0000,28.9508
660000,0.0000,27.3084
665000,0.0000,30.1464
670000,0.0000,27.0237
675000,0.0000,27.4423
680000,0.0000,29.7675
685000,0.0000,28.8179
690000,0.0000,28.2322
695000,0.0000,25.7401
700000,0.0000,32.9689
705000,0.0000,34.3603
710000,0.0000,33.4138
715000,0.0000,32.4187
720000,0.0000,29.9633
725000,0.0000,34.1114
730000,0.0000,34.3927
735000,0.0000,36.0214
740000,0.0000,35.7613
745000,0.0000,35.9343
750000,0.0000,33.1704
755000,0.0000,34.4364
760000,0.0000,29.5280
765000,0.0000,33.4865
770000,0.0000,31.9341
775000,0.0000,31.4538
780000,0.0000,30.3944
785000,0.0000,29.0413
790000,0.0000,30.0186
795000,0.0000,30.5076
800000,0.0000,27.5079
805000,0.0000,32.3546
810000,0.0000,30.8681
815000,0.0000,26.9197
820000,0.0000,29.8005
825000,0.0000,33.7494
830000,0.0000,36.0273
835000,0.1000,35.9063
840000,0.0000,36.0226
845000,0.0000,35.1978
850000,0.2000,35.6959
855000,0.0000,36.0379
860000,0.0000,36.0187
865000,0.2000,34.0596
870000,0.0000,35.7257
875000,0.0000,34.1279
880000,0.0000,35.6466
885000,0.0000,36.0125
890000,0.0000,35.5879
895000,0.0000,34.8932
900000,0.0000,36.0006
905000,0.0000,34.9718
910000,0.0000,35.9921
915000,0.0000,35.8745
920000,0.0000,35.9828
925000,0.0000,35.9929
930000,0.0000,35.9634
935000,0.0000,35.9243
940000,0.0000,35.9431
945000,0.0000,35.8731
950000,0.0000,35.9420
955000,0.0000,34.8449
960000,0.0000,36.0114
965000,0.0000,34.4954
970000,0.0000,35.4267
975000,0.0000,35.4804
980000,0.0000,35.9810
985000,0.0000,36.0061
990000,0.0000,36.0072
995000,0.0000,36.0069
1000000,0.0000,36.0060
