frames,reward,dist
5000,0.0000,2.4553
10000,0.0000,4.4194
15000,0.0000,2.9997
20000,0.0000,6.3654
25000,0.0000,4.0985
30000,0.0000,2.3339
35000,0.0000,3.7516
40000,0.0000,4.2229
45000,0.0000,1.4763
50000,0.0000,3.0509
55000,0.0000,0.8408
60000,0.0000,0.5686
65000,0.0000,0.5532
70000,0.0000,0.7163
75000,0.0000,0.5807
80000,0.0000,0.8627
85000,0.0000,0.3931
90000,0.0000,0.5776
95000,0.0000,1.2559
100000,0.0000,1.2316
105000,0.0000,0.6025
110000,0.0000,1.4212
115000,0.0000,0.6079
120000,0.0000,0.5930
125000,0.0000,0.6289
130000,0.0000,0.5553
135000,0.0000,1.0143
140000,0.0000,0.7853
145000,0.0000,0.6269
150000,0.0000,0.9750
155000,0.0000,1.0759
160000,0.0000,1.2455
165000,0.0000,0.7973
170000,0.0000,0.8993
175000,0.0000,0.7064
180000,0.0000,0.5614
185000,0.0000,0.7852
190000,0.0000,0.5964
195000,0.0000,0.8397
200000,0.0000,0.4956
205000,0.0000,0.7654
210000,0.0000,1.0278
215000,0.0000,0.7653
220000,0.0000,0.5121
225000,0.0000,0.7138
230000,0.0000,0.8003
235000,0.0000,0.5696
240000,0.0000,0.9867
245000,0.0000,0.9674
250000,0.0000,0.6452
255000,0.0000,0.8676
260000,0.0000,0.5656
265000,0.0000,0.8128
270000,0.0000,0.7534
275000,0.0000,0.9577
280000,0.0000,0.4355
285000,0.0000,0.5725
290000,0.0000,0.5686
295000,0.0000,0.5034
300000,0.0000,0.3772
305000,0.0000,0.7806
310000,0.0000,3.2590
315000,0.0000,0.7188
320000,0.0000,1.3016
325000,0.0000,0.7812
330000,0.0000,1.3994
335000,0.0000,1.1554
340000,0.0000,1.2586
345000,0.0000,0.9533
350000,0.0000,0.5912
355000,0.0000,0.6925
360000,0.0000,0.6240
365000,0.0000,0.8052
370000,0.0000,0.7782
375000,0.0000,0.8560
380000,0.0000,0.8064
385000,0.0000,0.8910
390000,0.0000,1.1648
395000,0.0000,0.7065
400000,0.0000,0.6688
405000,0.0000,0.5970
410000,0.0000,0.7399
415000,0.0000,0.8530
420000,0.0000,1.2803
425000,0.0000,1.3284
430000,0.0000,1.0666
435000,0.0000,0.6317
440000,0.0000,1.0332
445000,0.0000,0.6715
450000,0.0000,1.0272
455000,0.0000,0.6226
460000,0.0000,0.9089
465000,0.0000,0.7913
470000,0.0000,0.9443
475000,0.0000,0.9007
480000,0.0000,1.0247
485000,0.0000,0.5236
490000,0.0000,1.3361
495000,0.0000,0.5076
500000,0.0000,1.1705
505000,0.0000,1.2735
510000,0.0000,0.8070
515000,0.0000,0.8086
520000,0.0000,1.1770
525000,0.0000,1.1751
530000,0.0000,0.8863
535000,0.0000,0.7168
540000,0.0000,0.5445
545000,0.0000,0.9524
550000,0.0000,0.9643
555000,0.0000,0.8055
560000,0.0000,0.7943
565000,0.0000,0.9400
570000,0.0000,0.8232
575000,0.0000,0.7194
580000,0.0000,0.9244
585000,0.0000,0.8012
590000,0.0000,1.1045
595000,0.0000,1.0160
600000,0.0000,0.9835
605000,0.0000,0.7554
610000,0.0000,0.8219
615000,0.0000,0.5656
620000,0.0000,0.8405
625000,0.0000,0.7846
630000,0.0000,1.1251
635000,0.0000,0.9018
640000,0.0000,1.1297
645000,0.0000,0.8500
650000,0.0000,0.8789
655000,0.0000,0.8673
660000,0.0000,0.9924
665000,0.0000,1.2188
670000,0.0000,0.7526
675000,0.0000,0.6154
680000,0.0000,0.6351
685000,0.0000,0.9424
690000,0.0000,0.9560
695000,0.0000,0.8521
700000,0.0000,0.7999
705000,0.0000,0.8484
710000,0.0000,0.6666
715000,0.0000,0.8097
720000,0.0000,0.8770
725000,0.0000,0.9357
730000,0.0000,0.7432
735000,0.0000,0.7382
740000,0.0000,0.7850
745000,0.0000,0.6590
750000,0.0000,0.9569
755000,0.0000,0.7664
760000,0.0000,0.7712
765000,0.0000,0.5922
770000,0.0000,0.7777
775000,0.0000,0.8398
780000,0.0000,0.7689
785000,0.0000,0.6577
790000,0.0000,0.7640
795000,0.0000,0.7971
800000,0.0000,0.6953
805000,0.0000,0.6658
810000,0.0000,0.4683
815000,0.0000,0.4654
820000,0.0000,0.5452
825000,0.0000,0.4875
830000,0.0000,0.5406
835000,0.0000,0.4642
840000,0.0000,0.5976
845000,0.0000,0.6372
850000,0.0000,0.4678
855000,0.0000,0.5095
860000,0.0000,0.3718
865000,0.0000,0.4781
870000,0.0000,0.5240
875000,0.0000,0.4926
880000,0.0000,0.5753
885000,0.0000,0.4367
890000,0.0000,0.5261
895000,0.0000,0.5203
900000,0.0000,0.4210
905000,0.0000,0.4755
910000,0.0000,0.5036
915000,0.0000,0.5828
920000,0.0000,0.3853
925000,0.0000,0.4952
930000,0.0000,0.7120
935000,0.0000,0.6540
940000,0.0000,0.4428
945000,0.0000,0.4899
950000,0.0000,0.6309
955000,0.0000,0.5695
960000,0.0000,0.6050
965000,0.0000,0.6011
970000,0.0000,0.4816
975000,0.0000,0.6481
980000,0.0000,0.6048
985000,0.0000,0.4876
990000,0.0000,0.4447
995000,0.0000,0.4371
1000000,0.0000,0.4518
